Country,League,Team,Year,HomeRatio,AwayGoalsDiff,FIFA_Rank
Algeria,Algeria-Ligue-1,MC Alger,2012,12,0,0.06403940886699508
Algeria,Algeria-Ligue-1,MC Alger,2014,9,0,0.06403940886699508
Algeria,Algeria-Ligue-1,JSM B?ja?a,2012,15,0,0.06403940886699508
Algeria,Algeria-Ligue-1,CA Batna,2012,11,2,0.06403940886699508
Algeria,Algeria-Ligue-1,JSM B?ja?a,2013,5,0,0.06403940886699508
Algeria,Algeria-Ligue-1,ES S?tif,2016,5,0,0.06403940886699508
Algeria,Algeria-Ligue-1,USM El Harrach,2014,8,0,0.06403940886699508
Algeria,Algeria-Ligue-1,ES S?tif,2010,18,1,0.06403940886699508
Algeria,Algeria-Ligue-1,MC Alger,2011,6,0,0.06403940886699508
Algeria,Algeria-Ligue-1,ES S?tif,2012,11,2,0.06403940886699508
Algeria,Algeria-Ligue-1,DRB Tadjenanet,2016,4,0,0.06403940886699508
Algeria,Algeria-Ligue-1,JSM B?ja?a,2010,11,1,0.06403940886699508
Algeria,Algeria-Ligue-1,CR Belouizdad,2012,10,0,0.06403940886699508
Algeria,Algeria-Ligue-1,USM Alger,2014,16,9,0.06403940886699508
Algeria,Algeria-Ligue-1,USM El Harrach,2012,2,0,0.06403940886699508
Algeria,Algeria-Ligue-1,USM El Harrach,2013,18,0,0.06403940886699508
Algeria,Algeria-Ligue-1,JSM B?ja?a,2014,0,0,0.06403940886699508
Algeria,Algeria-Ligue-1,ES S?tif,2014,8,6,0.06403940886699508
Algeria,Algeria-Ligue-1,Tlemcen,2013,0,0,0.06403940886699508
Algeria,Algeria-Ligue-1,CS Constantine,2014,3,0,0.06403940886699508
Algeria,Algeria-Ligue-1,USM Alger,2016,13,7,0.06403940886699508
Angola,Angola-Girabola,Acad?mica Lobito,2009,0,0,0.06403940886699508
Angola,Angola-Girabola,Desportivo Hu?la,2010,8,0,0.06403940886699508
Angola,Angola-Girabola,Nacional de Benguela,2012,0,0,0.06403940886699508
Angola,Angola-Girabola,Desportivo Hu?la,2014,0,0,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2015,6,0,0.06403940886699508
Angola,Angola-Girabola,Kabuscorp Palanca,2016,3,0,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2016,4,0,0.06403940886699508
Angola,Angola-Girabola,Porcelana FC,2016,0,0,0.06403940886699508
Angola,Angola-Girabola,? de Maio,2016,0,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2016,3,0,0.06403940886699508
Angola,Angola-Girabola,Kuando Kubango,2016,1,0,0.06403940886699508
Angola,Angola-Girabola,Progresso da Lunda Sul,2016,0,0,0.06403940886699508
Angola,Angola-Girabola,Desportivo Hu?la,2015,7,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2009,10,0,0.06403940886699508
Angola,Angola-Girabola,Desportivo Hu?la,2009,8,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2015,7,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2012,5,0,0.06403940886699508
Angola,Angola-Girabola,FC Bravos do Maquis,2009,4,0,0.06403940886699508
Angola,Angola-Girabola,Sporting de Cabinda,2010,0,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2015,8,0,0.06403940886699508
Angola,Angola-Girabola,ASA Luanda,2014,1,0,0.06403940886699508
Angola,Angola-Girabola,Atl?tico do Namibe,2013,0,0,0.06403940886699508
Angola,Angola-Girabola,Uniao Sport Clube do Uige,2014,4,0,0.06403940886699508
Angola,Angola-Girabola,Sagrada Esperan?a,2013,8,0,0.06403940886699508
Angola,Angola-Girabola,Santos de Angola,2013,0,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2011,10,0,0.06403940886699508
Angola,Angola-Girabola,Sport Lubango e Benfica,2010,0,0,0.06403940886699508
Angola,Angola-Girabola,Domant FC,2015,0,0,0.06403940886699508
Angola,Angola-Girabola,Acad?mica do Soyo,2011,1,0,0.06403940886699508
Angola,Angola-Girabola,? de Maio,2011,0,0,0.06403940886699508
Angola,Angola-Girabola,Santos de Angola,2009,9,0,0.06403940886699508
Angola,Angola-Girabola,Porcelana FC,2013,8,0,0.06403940886699508
Angola,Angola-Girabola,Acad?mica Lobito,2015,8,0,0.06403940886699508
Angola,Angola-Girabola,Recreativo da Ca?la,2012,9,0,0.06403940886699508
Angola,Angola-Girabola,? de Agosto,2013,24,0,0.06403940886699508
